# salience_rank	word	lift_rank	zipf	salience	lift	tf	idf	z_eff
# salience = 100 * sqrt(tf * idf); tf = norm(log10 modelled lift), idf = norm(8 - z_eff)
# z_eff = zipf, minus 1.5 if hyphenated, floored at 0.8 when wordfreq does not know the word
# scan.sh reads columns 1, 2 and 5; the rest show the working
# regenerate: uv run --with wordfreq --python 3.12 tools/rescore.py
286	tier-2	418	4.15	28.7	6.5	0.126	0.654	2.65
287	in-flight	338	4.86	28.6	6.9	0.157	0.521	3.36
288	hazard	250	3.98	28.5	7.6	0.201	0.404	3.98
289	decisive	278	3.80	28.5	7.3	0.185	0.438	3.80
290	asks	174	4.44	28.4	8.4	0.253	0.318	4.44
291	reap	321	3.53	28.4	7.0	0.164	0.489	3.53
292	cheap	126	4.71	28.3	9.3	0.300	0.268	4.71
293	declares	296	3.71	28.3	7.2	0.176	0.455	3.71
294	cross-checked	400	4.41	28.3	6.6	0.133	0.605	2.91
295	caller-supplied	487	3.52	28.3	6.2	0.104	0.772	2.02
296	dedupes	576	0.00	28.3	5.9	0.080	1.000	0.80
297	phase-2	379	4.62	28.2	6.7	0.140	0.566	3.12
298	opposite	147	4.62	28.1	8.9	0.278	0.285	4.62
299	retiring	288	3.80	28.1	7.3	0.180	0.438	3.80
300	held-out	301	5.21	28.1	7.2	0.174	0.455	3.71
301	faked	351	3.35	28.1	6.8	0.152	0.522	3.35
302	hand-authored	497	3.48	28.1	6.2	0.101	0.779	1.98
303	ladder	253	4.03	28.0	7.5	0.199	0.395	4.03
304	no-op	409	4.41	28.0	6.5	0.129	0.605	2.91
305	tolerates	440	2.62	28.0	6.4	0.119	0.659	2.62
306	enumerates	486	2.12	28.0	6.2	0.104	0.753	2.12
307	honestly	138	4.69	27.9	9.0	0.287	0.272	4.69
308	census	230	4.19	27.9	7.8	0.213	0.365	4.19
309	collided	369	3.26	27.9	6.7	0.144	0.539	3.26
310	dies	195	4.41	27.7	8.2	0.237	0.324	4.41
311	beside	234	4.19	27.7	7.7	0.210	0.365	4.19
312	stands	159	4.61	27.6	8.7	0.266	0.287	4.61
